Sequence Length,Hidden Size,Num Layers,Learning Rate,RMSE,MAE
10,32,1,0.001,1.2408404453877357,0.973509669303894
10,32,2,0.001,1.307852737372908,1.0480624437332153
10,32,3,0.001,1.1543063245667302,0.8787696957588196
10,64,1,0.001,1.228225649526497,0.938064694404602
10,64,2,0.001,1.2818500230309686,0.9954469203948975
10,64,3,0.001,1.3573659761843588,1.0843758583068848
10,128,1,0.001,1.1859667064503092,0.9034042954444885
10,128,2,0.001,1.3488846639697591,1.0831634998321533
10,128,3,0.001,1.3588963685428124,1.0845717191696167
10,256,1,0.001,1.3147621188376832,1.0605946779251099
10,256,2,0.001,1.259242648607811,0.9839566349983215
10,256,3,0.001,1.2524312217848586,0.9725311398506165
20,32,1,0.001,1.2746362952786567,1.0047118663787842
20,32,2,0.001,1.315809799589469,1.0598294734954834
20,32,3,0.001,1.310794084999724,1.0643432140350342
20,64,1,0.001,1.2730595314447857,1.008095383644104
20,64,2,0.001,1.341683595364947,1.0780727863311768
20,64,3,0.001,1.3641110056569423,1.0988492965698242
20,128,1,0.001,1.2643106959571133,1.0116652250289917
20,128,2,0.001,1.269511577747222,1.0115199089050293
20,128,3,0.001,1.3304326821420658,1.0606317520141602
20,256,1,0.001,1.2530537497034977,0.971857488155365
20,256,2,0.001,1.2310697994911488,0.9770282506942749
20,256,3,0.001,1.301976339394772,1.0450230836868286
30,32,1,0.001,1.2256320899085245,0.9726259708404541
30,32,2,0.001,1.2257206937712601,0.9760434627532959
30,32,3,0.001,1.2441667347418495,0.9787922501564026
30,64,1,0.001,1.238379970911364,0.982999861240387
30,64,2,0.001,1.2757410382990084,1.0243974924087524
30,64,3,0.001,1.4335667246420218,1.1806340217590332
30,128,1,0.001,1.2706962991009891,1.0094666481018066
30,128,2,0.001,1.2307349507436334,0.9649089574813843
30,128,3,0.001,1.3476868114599705,1.0901719331741333
30,256,1,0.001,1.2305672257996387,0.9577071666717529
30,256,2,0.001,1.2640989545886776,0.9992055296897888
30,256,3,0.001,1.3173698271951992,1.03943932056427
